;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;154921;2186772;159817;363456;29583;245725;125440;425038;
2000;375047;575975;436412;1367487;60084;74865;423232;749855;
3000;721628;1378355;788977;1102443;109839;168446;883668;1461068;
4000;1160082;1886710;1233757;2051533;161393;403303;1514210;2430083;
5000;1685511;1982103;1767838;2198848;216576;717252;2326727;3252991;
6000;2304877;2786294;2398084;2679431;260317;324213;3306500;5945704;
7000;3018839;3634559;3114635;3875454;316007;1039653;5062681;34424466;
8000;3840364;4322831;3902592;4673005;353699;578994;5856186;14019617;
9000;4827322;7013733;4808998;6563941;403285;918299;7527050;12311012;
