;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;630263;1075878;743617;912866;14852;272894;1711967;25819255;
2000;2543496;2896780;3025999;3940659;50745;316364;5904558;6246370;
3000;5776225;6755329;6798358;13720763;115225;397266;13912862;43452903;
4000;10403743;17455543;12055162;23289554;206306;513185;25102667;53671327;
5000;16420876;23425397;18578808;20197764;332544;779438;37782369;67017163;
6000;24244609;54230397;27302523;35014931;466334;851284;55103669;78065739;
7000;32424136;58785067;38251203;81766106;607937;4583046;75040324;103912766;
8000;42199994;62426871;49565561;79138597;603481;952713;97379247;125577636;
9000;53921634;82996543;61746568;85942830;698173;1276926;123690635;154702407;
