;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1244190;3942471;1462263;2312956;765750;3142505;1468392;1828751;
2000;5297858;49830287;6018811;15746334;2830916;3551845;6017229;14127687;
3000;12180626;17321511;14062175;17086049;6371816;12905100;13935358;43224687;
4000;24587513;29180920;27532647;57208079;10984120;17159103;24195138;37158838;
5000;43523916;72013171;46787750;75770291;17374399;46639482;37707348;59641784;
6000;67364739;96019373;71466453;94474987;24730843;53567482;53899127;81940589;
7000;99824913;126182590;102980121;131281840;32181502;76763455;74926457;117405915;
8000;133960781;174246916;141214286;185254437;41194659;72231124;99026028;127115379;
9000;176389808;231042031;184137341;228955481;52091652;80168591;125033073;164672691;
