;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1111867;1281755;1314188;2439139;371371;789098;1472986;1930181;
2000;4379836;7339756;5421379;20171803;2017488;5472969;5908579;6629749;
3000;10853674;22007194;12835336;38252827;5131085;27693891;13995684;44245020;
4000;21820449;29608374;26171306;54624644;9449110;23343287;24701120;55687240;
5000;39516531;70782130;44052623;61863575;14740575;46345457;38417222;69303554;
6000;66031206;108061114;69724811;103077784;21592087;52967961;54941472;94607812;
7000;95035633;124336934;101457838;127874290;29245732;39871474;74256418;117602736;
8000;129624505;182821336;139314293;196425574;37980555;58236864;97092721;126201306;
9000;171966821;208898390;184393674;240170691;48339755;86853281;122996790;156712282;
