;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1237977;7068071;1528615;19893475;737229;3567543;1518545;4850506;
2000;4590617;12959436;6041814;36318421;2906850;6720311;6064545;8752525;
3000;11047863;14926445;13306579;32134452;6357278;18632850;13615202;21698679;
4000;22344785;29947679;25625880;55132999;11208261;17908957;24854195;53903166;
5000;39889290;49933527;43999777;60109085;17752164;46420322;39216994;66424282;
6000;65004026;94776861;69024120;107735694;24996600;54003388;55256169;85003399;
7000;93576931;113382543;99941702;128144769;33500834;57600514;76069465;103810732;
8000;130914272;164812760;136617988;202568100;43076020;71227696;97939030;126544839;
9000;171094388;226967944;180208153;229188528;54021971;79600465;124213389;158253045;
