;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1239235;1831772;1465726;1873431;751207;1099426;1464204;1679628;
2000;4863531;5301515;5801968;9833854;3045959;3518646;5883842;6247589;
3000;11873769;12468009;14090329;16672513;6487367;7255245;13289994;13944174;
4000;24022733;24814664;27458931;35323509;11183884;12081610;23616036;24111298;
5000;41956736;43271254;46320092;48445378;17260485;19500471;37011101;40274851;
6000;66235568;84537459;70745092;76312594;24372128;26411579;54215806;70110287;
7000;95521351;126607858;101412354;111025715;32857179;36189888;72897117;83540067;
8000;130705667;167960399;138729230;156686605;42475845;48163427;94856117;96925773;
9000;171046308;184733134;180633205;183093353;52192922;56552511;120114935;122313998;
