;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1155393;2526687;1292088;1554652;613843;982902;1469276;1809434;
2000;4371724;4819724;5069736;5790552;2726002;3900819;5890676;6266305;
3000;11872060;24625691;12430673;14227331;5995089;7967064;13355700;16220910;
4000;21799140;26822732;24773893;38984640;10398987;14011190;23650027;24419813;
5000;38847673;42363820;42762825;60357939;16310716;21683625;37095571;38701482;
6000;62223394;64790659;66541252;77649293;22507047;31041726;53311016;54680288;
7000;92354582;114026344;96909375;107909768;29923342;42034777;72570326;74250793;
8000;128243116;147582078;134387192;136737549;38958117;54735833;95805180;119524681;
9000;169033157;197182427;177676794;185432275;47432620;52132469;119966401;121628745;
