;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;1202256;2586458;1420921;4681465;786152;1785888;1483808;1759927;
2000;4371585;4859571;5210958;5558712;2977687;3390047;5980345;6536180;
3000;10692288;12372617;12769502;13148433;6502364;7124232;13467641;13892855;
4000;22070863;22677998;25234710;26424258;11227553;12665435;23992896;24742818;
5000;39889659;49949919;43654960;52163865;17120029;18695070;37551111;39146444;
6000;63608749;87911809;67795310;75629755;24147673;25730551;54055547;55508027;
7000;92703120;95644015;98223965;109078625;32850555;35337395;73870866;76727369;
8000;127931992;134714388;134021109;138871799;42294123;45578781;96054872;98954972;
9000;169220844;185438916;176126470;184456013;53017770;57052416;121761128;123497345;
