;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;132788;1026976;159697;1073465;30380;289196;109773;412964;
2000;372887;698537;419315;821098;68519;301271;394477;717253;
3000;725886;2642003;774850;1217156;112436;169049;846889;1473147;
4000;1150358;1333076;1215550;1722494;162692;461264;1467332;1983314;
5000;1704683;2062405;1742381;1877658;211408;849474;2260500;3132247;
6000;2316190;3064023;2379269;2704189;252372;294025;3211217;3569965;
7000;3024997;3372538;3098509;3513212;305273;368890;4345491;5207934;
8000;3836453;4744859;3912404;4793763;355118;591070;5655945;6214382;
9000;4742329;5229669;4775420;5610031;404915;1030598;7376338;9071924;
