;Random numbers from 0 to 7;;Random numbers from 0 to 32767;;Almost sorted array;;Reverse sorted array;
;Average;Max;Average;Max;Average;Max;Average;Max;
1000;674326;1158593;746208;1647629;14628;277724;1463932;1810641;
2000;2618734;2966216;2926006;3549437;60531;312138;5910135;6586291;
3000;5789500;6199289;6602701;7308374;141108;381569;13312568;14095714;
4000;10495949;11922220;11754595;12292318;219257;533110;23721614;24724102;
5000;16442738;17509309;18572147;19918265;300763;1287795;37104778;38913398;
6000;23572300;24303289;26733135;27603379;358886;665331;53446902;54555916;
7000;31876878;33252652;36833822;38880795;425974;769779;72831151;74465125;
8000;41538791;42755652;48145948;49885318;511048;833173;95817043;103149212;
9000;52205354;53870058;60484006;62692634;639122;1104859;120623961;122270529;
